Census Tract,2019 Total Crime Index,Low_Response_Score,pct_Mobile_Homes_ACS_13_17,pct_Crowd_Occp_U_ACS_13_17,pct_PUB_ASST_INC_ACS_13_17,pct_Sngl_Prns_HHD_ACSMOE_13_17,avg_job_growth_04_13,job_density_13,Incarceration_rate
42101027100,52,25,0.73,6.04,6.37,8.81,0.055,854.2,0.0193
42101027200,73,26.3,0,2.81,3.87,6.84,-0.021,889.3,0.0157
42101027300,111,27.7,0,1.33,6.67,8.76,-0.0805,2072,0.0269
42101027401,125,24.5,0,4.65,1.93,9.89,0.0393,3571,0.0293
42101027402,143,27.5,0,2.09,7.08,9.56,-0.0031,538.1,0.0226
42101027500,108,28,0.28,2.44,6.77,7.5,0.0131,1393,0.0266
42101027600,79,28.9,0,4.14,5.47,7.82,0.0758,2254,0.0448
42101027700,181,26.6,0.96,0.36,17.38,9.3,0.0655,1287,0.0512
42101027800,143,28.4,0,4.13,9.31,8.1,0.05,2050,0.0605
42101027901,170,27.8,0,4.69,4.9,7.44,0.0298,347.8,0.0503
42101027902,124,29.5,0,0,10.99,6.83,0.0946,4183,0.0679
42101028000,149,26.6,0,1.99,9.17,9.71,0.0354,913.4,0.0625
42101028100,150,26.9,0,3.5,8.33,8.48,0.0382,1727,0.0479
42101028200,219,27.9,0,0,4.19,9.3,0.0173,22270,0.0645
42101028300,228,31.7,0.64,3.6,15.33,9.1,0.0147,1092,0.0444
42101028400,181,30.2,0,1.66,10.02,7.72,0.1493,700,0.0633
42101028500,126,32.9,1.53,3.04,17.08,8.68,0.0806,2184,0.0144
42101028600,142,29.7,0,0.66,8.72,9.75,0.0381,2188,0.0471
42101028700,165,32.8,1.32,3.85,9.62,8.52,0.0141,1280,0.0418
42101028800,174,30.9,0,6.56,8.77,7.28,0.0529,2836,0.0162
42101028901,176,32.3,0,4.38,10.82,8.2,-0.025,2675,0.0312
42101028902,159,31.7,0.28,6.21,6.36,6.27,0.0442,302,0.0464
42101029000,112,29.3,2.32,9.51,7.4,8.51,0.0744,1316,0.0294
42101029100,111,30.5,0,3.64,15.83,8.31,-0.0416,5618,0.0165
42101029200,177,28.5,0.68,1.29,8.57,8.79,0.0814,2350,0.0227
42101029300,200,31.6,0,5.44,14.66,11.05,-0.0465,3449,0.0376
42101029400,277,32.6,0,6.01,14.68,9.43,0.0002,2268,0.0375
42101029800,224,26.8,0,1.55,14.78,6.55,0.0178,1382,0.0232
42101029900,114,32.1,0,8.69,18.31,6.41,0.1055,1092,0.0388
42101030000,205,32.2,0.81,1.31,13.28,8.39,0.009,5616,0.0484
42101030100,225,31.7,0,3.2,11.33,8.73,-0.1996,621.4,0.0215
42101030200,167,28.4,1.81,3.16,7.9,9.28,0.1389,2704,0.0158
42101030501,112,29.4,0,2.69,8.54,6.72,0.0177,5356,0.0257
42101030502,160,27.1,0,2.94,3.82,5.84,0.1047,1007,0.0256
